objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
200,South Holland,E07000140,Benzene annual mean Limit Value 2020,0.41,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{02F78235-EC30-445F-840A-ABB5C8FF8AF8},198138.771631415,750908591.673552
201,South Kesteven,E07000141,Benzene annual mean Limit Value 2020,0.42,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{34C81D0D-8887-42A5-B542-6C6E34FADE28},209816.520260682,942585797.657035
202,South Lakeland,E07000031,Benzene annual mean Limit Value 2020,0.24,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{546FB629-6603-4FA7-AC19-73432FE45669},381861.979487717,1554923591.81439
203,South Norfolk,E07000149,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{A23B7F31-0D05-41FD-85FC-40D6073EC72A},266872.66836317,907576579.766064
204,South Northamptonshire,E07000155,Benzene annual mean Limit Value 2020,0.36,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{820A5EAC-659A-49AA-B688-96E56BEEA304},225304.988901924,634023185.055839
205,South Oxfordshire,E07000179,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{17838347-F90A-4029-BB58-EBF38742EE9A},205400.226544209,678521428.259037
206,South Ribble,E07000126,Benzene annual mean Limit Value 2020,0.38,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{2ED3FE70-5A72-412A-B7B9-C2954D47D9B8},105352.200645432,113141865.944214
207,South Somerset,E07000189,Benzene annual mean Limit Value 2020,0.42,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{87A5777B-D9AA-414D-9179-B3C8917278FE},241317.051224869,959040237.320222
208,South Staffordshire,E07000196,Benzene annual mean Limit Value 2020,0.42,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{90F29EA2-3EED-4BDC-A96F-0CAA0F14540D},184894.339545134,407322253.357068
209,South Tyneside,E08000023,Benzene annual mean Limit Value 2020,0.39,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{12ED7D93-EC04-410B-ACD0-1C2907C3301E},51370.4961740242,64428423.6794226
210,Southampton,E06000045,Benzene annual mean Limit Value 2020,0.63,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{ACD6930A-B5F9-44EB-8FA2-8371AC5B34F8},61544.0619572362,49880646.3648927
211,Southend-on-Sea,E06000033,Benzene annual mean Limit Value 2020,0.58,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{AEE2F028-BB9E-4CC4-8B6E-82F4FFD7522C},57783.269057816,41673935.6083753
212,St Albans,E07000240,Benzene annual mean Limit Value 2020,0.46,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B8BCCBE4-3C1E-441A-AF0C-2CF0CE5B9281},72946.3415852749,161205874.059609
213,St. Helens,E08000013,Benzene annual mean Limit Value 2020,0.47,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{AB24FBD3-319C-4FF1-847B-79B5A844ACEF},76387.0358430372,136358792.987379
