month,year,date,co2,pm25,Rural_Background_no2,Urban_Background_no2
6,2014,2014/6,37.94,16.2581355,7.979916796,24.79922863
7,2014,2014/7,37.94,16.2581355,7.979916796,24.79922863
8,2014,2014/8,37.94,16.2581355,7.979916796,24.79922863
9,2014,2014/9,37.94,16.2581355,7.979916796,24.79922863
10,2014,2014/10,37.94,16.2581355,7.979916796,24.79922863
11,2014,2014/11,37.94,16.2581355,7.979916796,24.79922863
12,2014,2014/12,37.94,16.2581355,7.979916796,24.79922863
1,2013,2013/1,40.87,16.7757351,8.675177715,25.27971525
2,2013,2013/2,40.87,16.7757351,8.675177715,25.27971525
3,2013,2013/3,40.87,16.7757351,8.675177715,25.27971525
4,2013,2013/4,40.87,16.7757351,8.675177715,25.27971525
5,2013,2013/5,40.87,16.7757351,8.675177715,25.27971525
6,2013,2013/6,40.87,16.7757351,8.675177715,25.27971525
7,2013,2013/7,40.87,16.7757351,8.675177715,25.27971525
8,2013,2013/8,40.87,16.7757351,8.675177715,25.27971525
9,2013,2013/9,40.87,16.7757351,8.675177715,25.27971525
10,2013,2013/10,40.87,16.7757351,8.675177715,25.27971525
11,2013,2013/11,40.87,16.7757351,8.675177715,25.27971525
12,2013,2013/12,40.87,16.7757351,8.675177715,25.27971525
