Country code,Country name,Region code,Region name,LAD code,LAD name,Google sub region 1,Google sub region 2,Average distance to nearest park or public garden or playing field (m),Median distance to nearest park or public garden or playing field (m),Average size of nearest park or public garden or playing field (m2),Median size of nearest park or public garden or playing field (m2),"Average number of parks or public gardens or playing fields within 1,000 m radius","Median number of parks or public gardens or playing fields within 1,000 m radius","Average combined size of parks or public gardens or playing fields within 1,000 m radius (m2)","Median combined size of parks or public gardens or playing fields within 1,000 m radius (m2)",Population ,Average population per park or public garden or playing field,Median population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,Average percent change in mobility to parks from baseline during lockdown period,Average percent change in mobility to parks from baseline during post-lockdown period
E92000001,England,E12000002,North West,E07000117,Burnley,Lancashire,Borough of Burnley,271,233.73,31521.24,20954.27,5.88,6,225829.61,197900,88527,4473.14,3081.98,4550,2851.76,282.95,36595,35703,152.7,4.51,20.33
E92000001,England,E12000002,North West,E07000118,Chorley,Lancashire,Chorley District,418.7,342.28,398572.79,21082.8,2.79,3,1159956.03,621999,116821,11308.42,4421.5,5425,4037.25,288.18,42793,41317,254.18,36.44,60.24
E92000001,England,E12000002,North West,E07000119,Fylde,Lancashire,Borough of Fylde,393.6,294.53,42079.99,29284.63,3.21,3,114898.62,86979,79770,6385.94,3308.89,11692,9044.81,284.53,27613,26533,286.99,16.91,143.67
E92000001,England,E12000002,North West,E07000120,Hyndburn,Lancashire,Hyndburn,318.38,269.26,39626.54,22217.53,4.78,5,187582.81,150057,80815,5373.09,4468.53,4128,3049.06,223.93,32299,31485,131.09,-0.1,-8
E92000001,England,E12000002,North West,E07000121,Lancaster,Lancashire,Lancaster District,379.48,241.12,27895.23,17268.96,5.69,6,200826,94495,139841,4847.38,3821.4,12941,8576.02,203.31,46924,45112,203.39,4.43,90.74
E92000001,England,E12000002,North West,E07000122,Pendle,Lancashire,Pendle District,333.62,301.35,43039.45,31861.54,3.92,3,161011.03,135428,91405,8501.35,5790.6,3501,2333.22,273.82,35340,34188,162.94,19.42,49.32
E92000001,England,E12000002,North West,E07000123,Preston,Lancashire,City of Preston,385.86,357.39,131066.08,46925.06,3.01,3,292293.18,320814,141818,18156.36,13377.79,12825,7340.11,176.45,48086,46328,188.96,34.01,69.98
E92000001,England,E12000002,North West,E07000124,Ribble Valley,Lancashire,Ribble Valley District,395.76,282.54,23849.34,12533.2,3.66,2,99872.59,32847,58752,3593.96,1703.39,2343,1467.03,410.78,21069,19758,292.73,110.77,284.14
E92000001,England,E12000002,North West,E07000125,Rossendale,Lancashire,Rossendale,340.54,266.01,20433.61,13952.55,3.67,4,76523.74,90878,70895,4214.75,2782.5,4257,2853.71,276.84,26833,25060,204.24,-20.6,
E92000001,England,E12000002,North West,E07000126,South Ribble,Lancashire,South Ribble District,400.11,325.01,65922.74,20319.36,3.82,4,314836.97,103043,110527,6985.76,4156.27,4888,3402.61,369.67,44510,42574,258.15,25.37,68.59
E92000001,England,E12000002,North West,E07000127,West Lancashire,Lancashire,West Lancashire District,470.56,308.6,90924.55,22876.52,3.97,3,511370.49,101310,112726,4298.93,3360.81,4889,3247.95,344.72,38283,36618,276.29,15.79,61.74
E92000001,England,E12000002,North West,E07000128,Wyre,Lancashire,Wyre District,404.59,339.27,59820.5,25502.78,2.98,3,181035.97,138251,111223,7472.19,4320.82,6677,4823.6,269.18,42038,40328,245.06,28.11,133.13
E92000001,England,E12000002,North West,E08000001,Bolton,Greater Manchester,Bolton District,334.38,289.95,62631.76,19234.61,5.21,5,370829.09,214226,285372,7122.04,4683.63,20098,12762.33,242.02,105024,101638,167.71,17.03,36.65
