Location_name,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation
Burnley/Nelson,42100,17500,10300,4700,100,25200,12400,5600,300,0,700,0,0,0,0,200,0,0,0,0,1800,1100,700,300,200,1400,800,500,200,100,146000
Cambridge Urban Area,30200,17800,12500,3900,100,19800,13300,4600,100,0,4500,2400,1500,600,0,3400,1700,900,500,0,500,200,100,0,0,300,100,0,0,0,152000
Cheltenham/Charlton Kings,18100,11600,8500,2800,0,12700,9100,3300,100,0,3200,2000,1200,600,100,2900,1900,1100,500,100,500,300,100,0,0,400,100,0,0,0,116000
Chesterfield/Staveley,10800,6400,4200,1700,100,7100,4600,1900,200,0,2300,1200,600,300,100,1800,900,400,100,0,100,0,0,0,0,100,0,0,0,0,104000
Colchester,17400,10800,6500,2500,0,11400,6900,2800,0,0,3000,1600,800,100,0,2200,1200,200,0,0,0,0,0,0,0,0,0,0,0,0,121000
Crawley Urban Area,67900,27200,12900,4500,300,41200,16300,6000,700,0,17100,10100,5600,1800,400,12800,7100,3300,800,100,400,200,0,0,0,400,200,0,0,0,198000
Dearne Valley Urban Area,44300,18300,10800,4600,200,27800,12600,5400,300,0,3500,1400,400,100,0,2400,900,300,100,0,800,200,100,0,0,500,100,0,0,0,215000
Derby Urban Area,34900,20700,14100,6200,100,22000,15000,7000,200,0,3200,1700,900,400,0,2700,1400,800,300,0,1700,1000,700,400,200,1400,900,700,400,200,262000
Doncaster Urban Area,42900,14500,7400,3500,700,24300,9100,3800,800,100,4500,2300,800,200,0,3400,1400,400,0,0,2400,1300,700,400,200,2000,1100,600,300,100,134000
Eastbourne,15700,10400,8000,2900,0,11100,8300,3500,0,0,2500,1200,300,0,0,1700,600,100,0,0,100,0,0,0,0,0,0,0,0,0,119000
