location_name,area long label,code,Persons per hectare
Hastings,Hastings (District),E07000062,31.06
Havant,Havant (District),E07000090,22.67
Havering,Havering (London borough),E09000016,23.2
Herefordshire,Herefordshire (Unitary),E06000019,0.89
Hertfordshire,Hertfordshire (County),E10000015,7.28
Hertsmere,Hertsmere (District),E07000098,10.43
High Peak,High Peak (District),E07000037,1.72
Hillingdon,Hillingdon (London borough),E09000017,26.71
Hinckley and Bosworth,Hinckley and Bosworth (District),E07000132,3.82
Horsham,Horsham (District),E07000227,2.74
Hounslow,Hounslow (London borough),E09000018,48.56
Huntingdonshire,Huntingdonshire (District),E07000011,1.98
Hyndburn,Hyndburn (District),E07000120,11.11
Ipswich,Ipswich (District),E07000202,34.42
Isle of Wight,Isle of Wight (Unitary),E06000046,3.75
Isles of Scilly,Isles of Scilly (Unitary),E06000053,1.36
Islington,Islington (London borough),E09000019,166.99
Kensington and Chelsea,Kensington and Chelsea (London borough),E09000020,129.39
Kent,Kent (County),E10000016,4.48
King's Lynn and West Norfolk,King's Lynn and West Norfolk (District),E07000146,1.05
Kingston upon Hull,Kingston upon Hull (Unitary),E06000010,36.2
Kingston upon Thames,Kingston upon Thames (London borough),E09000021,48.08
Kirklees,Kirklees (Metropolitan borough),E08000034,10.8
Knowsley,Knowsley (Metropolitan borough),E08000011,17.62
Lambeth,Lambeth (London borough),E09000022,120.05
Lancashire,Lancashire (County),E10000017,4.24
Lancaster,Lancaster (District),E07000121,2.61
Leeds,Leeds (Metropolitan borough),E08000035,14.48
Leicester,Leicester (Unitary),E06000016,48.27
Leicestershire,Leicestershire (County),E10000018,3.42
Lewes,Lewes (District),E07000063,3.54
Lewisham,Lewisham (London borough),E09000023,86.87
Lichfield,Lichfield (District),E07000194,3.19
Lincoln,Lincoln (District),E07000138,28.03
Lincolnshire,Lincolnshire (County),E10000019,1.29
Liverpool,Liverpool (Metropolitan borough),E08000012,44.75
Luton,Luton (Unitary),E06000032,49.25
Maidstone,Maidstone (District),E07000110,4.4
Maldon,Maldon (District),E07000074,1.83
Malvern Hills,Malvern Hills (District),E07000235,1.38
Manchester,Manchester (Metropolitan borough),E08000003,48.05
Mansfield,Mansfield (District),E07000174,14.26
Medway,Medway (Unitary),E06000035,14.41
Melton,Melton (District),E07000133,1.07
Mendip,Mendip (District),E07000187,1.57
Merton,Merton (London borough),E09000024,54.87
Mid Devon,Mid Devon (District),E07000042,0.91
Mid Suffolk,Mid Suffolk (District),E07000203,1.2
Mid Sussex,Mid Sussex (District),E07000228,4.55
Middlesbrough,Middlesbrough (Unitary),E06000002,26.22
Milton Keynes,Milton Keynes (Unitary),E06000042,8.76
Mole Valley,Mole Valley (District),E07000210,3.39
New Forest,New Forest (District),E07000091,2.39
Newark and Sherwood,Newark and Sherwood (District),E07000175,1.89
Newcastle upon Tyne,Newcastle upon Tyne (Metropolitan borough),E08000021,27.04
Newcastle-under-Lyme,Newcastle-under-Lyme (District),E07000195,6.14
Newham,Newham (London borough),E09000025,98.15
Norfolk,Norfolk (County),E10000020,1.7
North Devon,North Devon (District),E07000043,0.9
North East Derbyshire,North East Derbyshire (District),E07000038,3.71
North East Lincolnshire,North East Lincolnshire (Unitary),E06000012,8.27
North Hertfordshire,North Hertfordshire (District),E07000099,3.56
North Kesteven,North Kesteven (District),E07000139,1.28
North Lincolnshire,North Lincolnshire (Unitary),E06000013,2.04
North Norfolk,North Norfolk (District),E07000147,1.09
North Northamptonshire,North Northamptonshire,E06000061,3.55
North Somerset,North Somerset (Unitary),E06000024,5.77
North Tyneside,North Tyneside (Metropolitan borough),E08000022,25.37
North Warwickshire,North Warwickshire (District),E07000218,2.3
North West Leicestershire,North West Leicestershire (District),E07000134,3.75
North Yorkshire,North Yorkshire (County),E10000023,0.77
Northumberland,Northumberland (Unitary),E06000057,0.65
Norwich,Norwich (District),E07000148,36.44
Nottingham,Nottingham (Unitary),E06000018,45.18
Nottinghamshire,Nottinghamshire (County),E10000024,4
Nuneaton and Bedworth,Nuneaton and Bedworth (District),E07000219,16.51
Oadby and Wigston,Oadby and Wigston (District),E07000135,24.36
Oldham,Oldham (Metropolitan borough),E08000004,16.69
Oxford,Oxford (District),E07000178,33.24
Oxfordshire,Oxfordshire (County),E10000025,2.68
Pendle,Pendle (District),E07000122,5.44
Peterborough,Peterborough (Unitary),E06000031,5.9
Plymouth,Plymouth (Unitary),E06000026,32.92
Portsmouth,Portsmouth (Unitary),E06000044,53.15
Preston,Preston (District),E07000123,10.13
Reading,Reading (Unitary),E06000038,39.69
Redbridge,Redbridge (London borough),E09000026,54.2
Redcar and Cleveland,Redcar and Cleveland (Unitary),E06000003,5.6
Redditch,Redditch (District),E07000236,15.77
Reigate and Banstead,Reigate and Banstead (District),E07000211,11.56
Ribble Valley,Ribble Valley (District),E07000124,1.06
Richmond upon Thames,Richmond upon Thames (London borough),E09000027,34.52
Richmondshire,Richmondshire (District),E07000166,0.41
Rochdale,Rochdale (Metropolitan borough),E08000005,14.14
Rochford,Rochford (District),E07000075,5.24
Rossendale,Rossendale (District),E07000125,5.17
Rother,Rother (District),E07000064,1.9
Rotherham,Rotherham (Metropolitan borough),E08000018,9.25
Rugby,Rugby (District),E07000220,3.15
Runnymede,Runnymede (District),E07000212,11.57
Rushcliffe,Rushcliffe (District),E07000176,2.97
Rushmoor,Rushmoor (District),E07000092,24.17
Rutland,Rutland (Unitary),E06000017,1.06
Ryedale,Ryedale (District),E07000167,0.37
Salford,Salford (Metropolitan borough),E08000006,27.03
Sandwell,Sandwell (Metropolitan borough),E08000028,38.46
Scarborough,Scarborough (District),E07000168,1.33
Sedgemoor,Sedgemoor (District),E07000188,2.19
Sefton,Sefton (Metropolitan borough),E08000014,17.62
Selby,Selby (District),E07000169,1.53
Sevenoaks,Sevenoaks (District),E07000111,3.29
Sheffield,Sheffield (Metropolitan borough),E08000019,16.01
Shropshire,Shropshire (Unitary),E06000051,1.02
Slough,Slough (Unitary),E06000039,45.96
Solihull,Solihull (Metropolitan borough),E08000029,12.2
Somerset,Somerset (County),E10000027,1.63
Somerset West and Taunton,Somerset West and Taunton (District),E07000246,1.31
South Cambridgeshire,South Cambridgeshire (District),E07000012,1.78
South Derbyshire,South Derbyshire (District),E07000039,3.24
South Gloucestershire,South Gloucestershire (Unitary),E06000025,5.79
South Hams,South Hams (District),E07000044,0.99
South Holland,South Holland (District),E07000140,1.28
South Kesteven,South Kesteven (District),E07000141,1.52
South Lakeland,South Lakeland (District),E07000031,0.68
South Norfolk,South Norfolk (District),E07000149,1.58
South Oxfordshire,South Oxfordshire (District),E07000179,2.12
South Ribble,South Ribble (District),E07000126,9.82
South Somerset,South Somerset (District),E07000189,1.76
South Staffordshire,South Staffordshire (District),E07000196,2.76
South Tyneside,South Tyneside (Metropolitan borough),E08000023,23.46
Southampton,Southampton (Unitary),E06000045,50.7
Southend-on-Sea,Southend-on-Sea (Unitary),E06000033,43.86
Southwark,Southwark (London borough),E09000028,110.82
Spelthorne,Spelthorne (District),E07000213,22.25
St Albans,St Albans (District),E07000240,9.26
St. Helens,St. Helens (Metropolitan borough),E08000013,13.28
Stafford,Stafford (District),E07000197,2.3
Staffordshire,Staffordshire (County),E10000028,3.37
Staffordshire Moorlands,Staffordshire Moorlands (District),E07000198,1.71
Stevenage,Stevenage (District),E07000243,33.93
Stockport,Stockport (Metropolitan borough),E08000007,23.34
Stockton-on-Tees,Stockton-on-Tees (Unitary),E06000004,9.63
